Updated policy parameters
New policy params 0.5 0.5 4
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.73531
FINISHED TOUCH DOWN

CUTTING
scaling_factor 0.105263
gaussian_mu 1.67976
gaussian_sigma_square 0.705396
platform height -0.08
Current pose -0.0355221
Z dist 0.0444779
2.32607 3.6287 3.86405 3.6287 3.86405
2.32003 3.69364 2.10019 3.69364 2.10019
2.3141 3.5929 3.20059 3.5929 3.20059
2.30512 3.32536 3.80592 3.32536 3.80592
2.29953 3.7155 4.31247 3.7155 4.31247
2.28606 3.50175 4.34958 3.50175 4.34958
2.27538 3.787 3.55129 3.787 3.55129
2.26697 3.85808 0.830605 3.85808 0.830605
2.25689 4.04401 2.51633 4.04401 2.51633
2.25253 4.16222 2.36239 4.16222 2.36239
2.25394 -0.00495672 -0.00495672 4.33763 0
2.2493 4.1719 2.69536 4.1719 2.69536
2.24596 4.31932 1.92464 4.31932 1.92464
2.24473 4.79487 2.81428 4.79487 2.81428
2.23853 4.19567 2.54397 4.19567 2.54397
2.24111 4.57221 3.26792 4.57221 3.26792
2.24616 4.40782 1.00351 4.40782 1.00351
2.24274 3.89188 3.60036 3.89188 3.60036
2.24148 4.08154 2.9319 4.08154 2.9319
2.23727 3.80165 1.78374 3.80165 1.78374
2.22843 3.76657 4.28819 3.76657 4.28819
2.22491 3.85613 1.20664 3.85613 1.20664
2.22001 3.9697 1.59023 3.9697 1.59023
2.21329 3.56831 2.0473 3.56831 2.0473
2.21527 3.83395 2.49737 3.83395 2.49737
2.21261 3.9105 1.63747 3.9105 1.63747
2.20544 3.46891 2.33645 3.46891 2.33645
2.20064 3.75721 2.98889 3.75721 2.98889
2.1949 3.78673 2.40247 3.78673 2.40247
2.18883 3.69129 3.52788 3.69129 3.52788
2.18832 3.61307 0.966179 3.61307 0.966179
2.18744 3.6395 1.6583 3.6395 1.6583
2.18358 3.64289 3.07181 3.64289 3.07181
2.17963 3.60927 1.85674 3.60927 1.85674
2.17016 3.52479 1.39392 3.52479 1.39392
2.16402 3.47869 0.987361 3.47869 0.987361
2.16667 3.68361 2.32949 3.68361 2.32949
2.16747 3.52313 2.47954 3.52313 2.47954
2.16453 3.44476 3.71183 3.44476 3.71183
2.15757 -0.872558 -0.872558 3.33339 0
2.14683 3.34555 3.24904 3.34555 3.24904
2.13981 3.30754 1.90711 3.30754 1.90711
2.14241 3.43051 2.48702 3.43051 2.48702
2.13793 3.20712 2.09403 3.20712 2.09403
2.13637 3.36106 1.99873 3.36106 1.99873
2.13761 3.59579 3.46668 3.59579 3.46668
2.13063 3.19032 0.866053 3.19032 0.866053
2.12578 3.37953 1.1815 3.37953 1.1815
2.12095 3.1749 2.47051 3.1749 2.47051
2.1214 3.34204 3.46722 3.34204 3.46722
2.11845 3.33978 1.6307 3.33978 1.6307
2.11006 3.0172 2.99937 3.0172 2.99937
2.10831 3.37567 2.07849 3.37567 2.07849
2.10901 3.44717 4.32592 3.44717 4.32592
2.10652 3.35718 3.25531 3.35718 3.25531
2.10466 3.33397 1.14309 3.33397 1.14309
2.10276 3.45472 1.81549 3.45472 1.81549
2.10277 3.39921 3.212 3.39921 3.212
2.10533 3.4121 1.40131 3.4121 1.40131
2.09862 2.97971 2.11784 2.97971 2.11784
2.09309 3.09779 3.11787 3.09779 3.11787
2.09309 -0.469898 -0.469898 3.21756 0
2.08663 3.08171 1.88854 3.08171 1.88854
2.0839 3.10957 3.10495 3.10957 3.10495
2.08716 3.36755 2.81922 3.36755 2.81922
2.08216 3.07468 2.13058 3.07468 2.13058
2.07663 2.99204 1.09581 2.99204 1.09581
2.08069 3.42197 2.63006 3.42197 2.63006
2.08117 3.10695 3.33147 3.10695 3.33147
2.07989 3.14385 2.25657 3.14385 2.25657
2.07557 2.90433 1.78394 2.90433 1.78394
2.07313 2.91196 3.67877 2.91196 3.67877
2.07423 3.13205 2.97308 3.13205 2.97308
2.07005 2.92658 2.15384 2.92658 2.15384
2.06316 2.78207 1.51179 2.78207 1.51179
2.06137 2.96762 2.83731 2.96762 2.83731
2.06052 3.01388 1.83393 3.01388 1.83393
2.05536 2.83575 3.36919 2.83575 3.36919
2.04989 2.96999 2.85945 2.96999 2.85945
2.04719 3.15305 3.24189 3.15305 3.24189
2.04337 3.13407 1.53153 3.13407 1.53153
FINISHED CUTTING

GOING UP
0.0125039 -0.0574961
FINISHED GOING UP

GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.50565
FINISHED TOUCH DOWN

CUTTING
scaling_factor 0.105263
gaussian_mu 1.67976
gaussian_sigma_square 0.705396
platform height -0.08
Current pose -0.0361678
Z dist 0.0438322
4.00372 2.09375 3.55109 2.09375 3.55109
4.00371 2.09297 1.81258 2.09297 1.81258
3.99544 2.05811 2.02971 2.05811 2.02971
3.99175 2.242 5.8613 2.242 5.8613
3.98933 2.12865 5.58697 2.12865 5.58697
3.97981 2.15264 2.27782 2.15264 2.27782
3.96284 1.83162 3.68461 1.83162 3.68461
3.95876 2.23525 5.01002 2.23525 5.01002
3.95698 2.5233 4.69889 2.5233 4.69889
3.94388 2.43055 4.63798 2.43055 4.63798
3.93657 2.58998 4.39243 2.58998 4.39243
3.9366 3.0956 5.39906 3.0956 5.39906
3.93453 3.18767 4.25175 3.18767 4.25175
3.92998 3.2366 4.32297 3.2366 4.32297
3.92674 3.32788 3.92974 3.32788 3.92974
3.92665 3.62316 2.5526 3.62316 2.5526
3.92563 3.71411 2.13334 3.71411 2.13334
3.92473 3.7794 2.59662 3.7794 2.59662
3.92682 4.00031 5.62398 4.00031 5.62398
3.92788 4.04972 5.64382 4.04972 5.64382
3.92421 4.02232 4.75526 4.02232 4.75526
3.91698 3.9855 3.33434 3.9855 3.33434
3.90885 4.09045 2.45849 4.09045 2.45849
3.90002 4.03165 2.4034 4.03165 2.4034
3.8858 3.69722 3.83159 3.69722 3.83159
3.87284 3.77956 4.72766 3.77956 4.72766
3.86233 3.7065 3.4238 3.7065 3.4238
3.85153 3.5314 4.77984 3.5314 4.77984
3.84602 3.65302 4.13764 3.65302 4.13764
3.84397 3.82382 4.40801 3.82382 4.40801
3.83571 3.66835 3.46221 3.66835 3.46221
3.83036 3.70289 2.90477 3.70289 2.90477
3.82601 3.73655 3.54487 3.73655 3.54487
3.82269 3.7367 5.48845 3.7367 5.48845
3.81873 3.80759 2.62727 3.80759 2.62727
3.81233 3.75326 5.87595 3.75326 5.87595
3.80957 3.88276 3.31581 3.88276 3.31581
3.80593 4.1055 0.808454 4.1055 0.808454
3.79657 3.66474 4.73682 3.66474 4.73682
3.79073 3.73738 4.19916 3.73738 4.19916
3.7796 3.80893 3.91065 3.80893 3.91065
3.7572 2.83177 4.17133 2.83177 4.17133
3.74129 2.89591 4.99425 2.89591 4.99425
3.72685 2.98195 4.75327 2.98195 4.75327
3.70243 2.41947 4.96757 2.41947 4.96757
3.67845 2.41313 3.73865 2.41313 3.73865
3.65405 2.30784 3.87809 2.30784 3.87809
3.62745 2.13778 4.24115 2.13778 4.24115
3.59673 2.0851 4.81208 2.0851 4.81208
3.56094 1.90955 4.49118 1.90955 4.49118
3.52102 1.77628 2.01608 1.77628 2.01608
3.48539 1.9115 3.3171 1.9115 3.3171
3.45137 1.59616 5.10379 1.59616 5.10379
3.41631 1.59697 3.52185 1.59697 3.52185
3.37346 1.58583 4.04389 1.58583 4.04389
3.32988 1.4191 3.12827 1.4191 3.12827
3.29367 1.84723 2.61715 1.84723 2.61715
3.25251 1.66592 3.4661 1.66592 3.4661
3.21187 1.66443 4.32528 1.66443 4.32528
3.17726 2.04115 1.96527 2.04115 1.96527
3.14098 1.94248 3.91866 1.94248 3.91866
3.10873 1.99068 3.03521 1.99068 3.03521
3.07858 2.36691 3.03094 2.36691 3.03094
3.04386 2.31313 3.83245 2.31313 3.83245
3.01381 2.38017 4.22515 2.38017 4.22515
2.98779 2.61593 2.58347 2.61593 2.58347
2.96203 2.44616 3.31421 2.44616 3.31421
2.94471 2.86617 3.38669 2.86617 3.38669
2.93012 3.0894 3.74948 3.0894 3.74948
2.91123 3.04449 2.64741 3.04449 2.64741
2.89465 3.50584 2.80512 3.50584 2.80512
