Updated policy parameters
New policy params 0.5 0.5 4
[ INFO] [1570714289.981215682]: Starting cutting rollout
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

[ INFO] [1570714293.521221844]: New start pose Recorded
TOUCH DOWN
2.51588
FINISHED TOUCH DOWN

CUTTING
[ INFO] [1570714297.441707282]: Gaussian velocity parameters calculated
platform height -0.08
Current pose -0.0348015
Z dist 0.0451985
2.36619 2.07393 2.79618 2.07393 1.09618
2.35945 2.37504 2.05917 2.37504 0.359167
2.35583 2.11639 2.17258 2.11639 0.472583
2.35268 1.98643 2.25481 1.98643 0.554811
2.35304 2.12821 2.4092 2.12821 0.709198
2.35158 2.1547 1.92198 2.1547 0.221978
2.3471 2.21846 1.6903 2.21846 -0.00969965
2.34143 2.10109 2.79855 2.10109 1.09855
2.33767 1.92764 3.06101 1.92764 1.36101
2.33199 1.96597 1.92247 1.96597 0.222471
2.32624 1.8654 3.10645 1.8654 1.40645
2.32327 1.81963 3.4356 1.81963 1.7356
2.31929 1.99153 2.15665 1.99153 0.456646
2.31075 1.77086 2.28149 1.77086 0.581486
2.30183 1.79078 2.14746 1.79078 0.447463
2.29873 2.08823 2.75417 2.08823 1.05417
2.29546 1.89943 2.06961 1.89943 0.369608
2.29087 1.83811 2.25516 1.83811 0.555156
2.2848 1.98826 1.8412 1.98826 0.141198
2.27896 2.04872 2.37968 2.04872 0.679685
2.27091 1.86189 1.68267 1.86189 -0.0173282
2.26737 1.97873 2.05826 1.97873 0.358258
2.26903 2.04505 2.77439 2.04505 1.07439
2.26776 2.04913 2.32883 2.04913 0.628828
2.26327 2.06529 1.9139 2.06529 0.213896
2.25846 1.901 2.40398 1.901 0.703978
2.25468 1.93606 2.389 1.93606 0.689002
2.25165 2.02004 2.90994 2.02004 1.20994
2.25074 1.75934 2.45478 1.75934 0.754779
2.24837 1.83005 0.917779 1.83005 -0.782221
2.24615 1.92528 2.3498 1.92528 0.649805
2.24568 1.87491 3.09255 1.87491 1.39255
2.24673 1.93718 1.24782 1.93718 -0.452177
2.24208 1.78799 2.59446 1.78799 0.894455
2.24051 1.95399 2.35675 1.95399 0.656753
2.24435 2.03746 2.45573 2.03746 0.755727
2.23953 1.7339 1.4385 1.7339 -0.261498
2.23535 1.90256 1.69731 1.90256 -0.00268884
2.23642 2.1255 3.16487 2.1255 1.46487
2.23722 1.8239 2.21902 1.8239 0.519021
2.23445 2.02495 1.94148 2.02495 0.24148
2.23307 2.04725 2.36888 2.04725 0.66888
2.23508 2.00152 2.30241 2.00152 0.602413
2.23616 2.05016 1.46808 2.05016 -0.231919
2.23448 1.6491 2.2769 1.6491 0.576896
2.23523 1.71766 2.35656 1.71766 0.656564
2.23551 1.7513 2.69716 1.7513 0.997156
2.22975 1.30621 2.85374 1.30621 1.15374
